,image_path,uniq_id,label,First_category,image,width,height,definition,image_224x224
0,../Data\Images\55b85ea15a1536d46b7190ad6fff8ce7.jpg,55b85ea15a1536d46b7190ad6fff8ce7,4,Home Furnishing,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=3600x3600 at 0x1580F3768D0>,3600,3600,12960000,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580D681050>
1,../Data\Images\7b72c92c2f6c40268628ec5f14c6d590.jpg,7b72c92c2f6c40268628ec5f14c6d590,0,Baby Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2388x1293 at 0x1580D669C90>,2388,1293,3087684,<PIL.Image.Image image mode=RGB size=224x224 at 0x1587DFB6850>
2,../Data\Images\64d5d4a258243731dc7bbb1eef49ad74.jpg,64d5d4a258243731dc7bbb1eef49ad74,0,Baby Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=982x729 at 0x1580CAB0290>,982,729,715878,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580D93B990>
3,../Data\Images\d4684dcdc759dd9cdf41504698d737d8.jpg,d4684dcdc759dd9cdf41504698d737d8,4,Home Furnishing,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1100x831 at 0x1580F3E0DD0>,1100,831,914100,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F36AF50>
4,../Data\Images\6325b6870c54cd47be6ebfbffa620ec7.jpg,6325b6870c54cd47be6ebfbffa620ec7,4,Home Furnishing,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2670x2088 at 0x1580F3E1010>,2670,2088,5574960,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3E0850>
5,../Data\Images\893aa5ed55f7cff2eccea7758d7a86bd.jpg,893aa5ed55f7cff2eccea7758d7a86bd,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1086x1770 at 0x1580F3E1250>,1086,1770,1922220,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3E0F50>
6,../Data\Images\f355cc1ccb08bd0d283ed979b7ee7515.jpg,f355cc1ccb08bd0d283ed979b7ee7515,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1130x1593 at 0x1580F3E1490>,1130,1593,1800090,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3E1190>
7,../Data\Images\dd0e3470a7e6ed76fd69c2da27721041.jpg,dd0e3470a7e6ed76fd69c2da27721041,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=651x1000 at 0x1580F3E16D0>,651,1000,651000,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3E13D0>
8,../Data\Images\41384da51732c0b4df3de8f395714fbb.jpg,41384da51732c0b4df3de8f395714fbb,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=318x510 at 0x1580F3E1910>,318,510,162180,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3E1610>
9,../Data\Images\710ed5f2393a4b9e8823aa0029f71f93.jpg,710ed5f2393a4b9e8823aa0029f71f93,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=416x784 at 0x1580F3E1C90>,416,784,326144,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3E1850>
10,../Data\Images\920154acbe49d3202ed7d2ed2df1ea13.jpg,920154acbe49d3202ed7d2ed2df1ea13,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1948x1343 at 0x1580F3E2050>,1948,1343,2616164,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3E1C10>
11,../Data\Images\08452abdadb3db1e686b94a9c52fc7b6.jpg,08452abdadb3db1e686b94a9c52fc7b6,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=936x1775 at 0x1580F3E2410>,936,1775,1661400,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3E1FD0>
12,../Data\Images\1e8741b5ae27a513546c94b3f3312aee.jpg,1e8741b5ae27a513546c94b3f3312aee,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=719x1145 at 0x1580F3E27D0>,719,1145,823255,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3E2390>
13,../Data\Images\189fa66a5fa6f08d2802a62ecf0be298.jpg,189fa66a5fa6f08d2802a62ecf0be298,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=289x479 at 0x1580F3E2B90>,289,479,138431,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3E2750>
14,../Data\Images\bbb8cdc5406ff60ff06ff64630f2ca47.jpg,bbb8cdc5406ff60ff06ff64630f2ca47,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=468x967 at 0x1580F3E2F50>,468,967,452556,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3E2B10>
15,../Data\Images\1120bc768623572513df956172ffefeb.jpg,1120bc768623572513df956172ffefeb,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=751x1024 at 0x1580F3E3310>,751,1024,769024,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3E2ED0>
16,../Data\Images\5479bb7028827d60000720a2c135976a.jpg,5479bb7028827d60000720a2c135976a,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x1000 at 0x1580F3E36D0>,302,1000,302000,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3E3290>
17,../Data\Images\733aa1e801a139fa8dc7be9f0eff5ee0.jpg,733aa1e801a139fa8dc7be9f0eff5ee0,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1062x1100 at 0x1580F3E3D10>,1062,1100,1168200,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3E3650>
18,../Data\Images\62c35de4df27437d3597963fac55a8b6.jpg,62c35de4df27437d3597963fac55a8b6,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=487x1000 at 0x1580F3E3E90>,487,1000,487000,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580CB19C10>
19,../Data\Images\33d97d63c037078cd3f08033966d6a88.jpg,33d97d63c037078cd3f08033966d6a88,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=876x1446 at 0x1580F3F81D0>,876,1446,1266696,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3E3C90>
